gt_x_m	gt_y_m	pred_x_m	pred_y_m	true_area
7.985	-2.12	7.806161	-0.9087677	B
4.0115533	17.20628	3.8093698	16.94291	B
5.143678	14.706777	5.1685705	14.285483	B
3.3091345	18.785915	3.3428097	18.257935	B
4.485264	16.091915	4.339862	15.778363	B
8.280231	1.2146342	7.5944667	0.16895676	B
7.506907	8.739111	7.458382	8.074759	B
7.949019	0.4417956	7.685049	-0.23263872	B
7.6223693	4.8622026	7.606669	4.6770554	B
7.925904	1.1676173	7.74209	0.83820343	B
7.9842324	-1.736942	7.673678	-0.2295512	B
3.6173363	18.10289	3.3118799	18.201664	B
8.545483	2.2326837	8.190699	1.7194388	B
7.9512916	0.36117768	7.684039	0.02640152	B
5.2493196	14.042598	5.135238	14.338279	B
3.7209678	17.175068	3.9676886	16.731464	B
6.1849966	11.647491	6.5282655	11.181306	B
4.055431	16.516823	4.1810403	16.5029	B
8.220419	5.4081664	7.3224287	6.51766	B
7.336983	9.287924	7.443167	8.811886	B
3.6240747	17.355396	3.770685	17.091614	B
3.5855625	18.174053	3.3379316	18.132282	B
3.6996613	17.917885	3.830958	16.998161	B
7.985	-2.12	7.720164	-0.9305079	B
5.3765163	13.785281	5.586922	12.80189	B
8.504025	3.4601426	7.9226613	2.8961601	B
4.147208	16.33377	4.3880653	15.970386	B
7.9759555	-0.8888613	7.4365344	-0.30874932	B
5.1118274	14.781091	5.0258856	14.443696	B
3.3091516	18.785877	3.3049684	18.32402	B
3.9059472	17.44899	3.8049545	17.071396	B
2.9353034	18.5201	3.2821405	18.117619	B
5.357134	13.821278	5.205262	13.696481	B
7.290085	6.8933973	7.0852733	7.970479	B
7.7760587	4.0288267	7.7550077	3.8102202	B
7.113348	8.010005	7.033207	8.431545	B
7.078487	8.168077	7.103107	8.884023	B
3.4875777	18.39233	3.320494	18.13068	B
8.072556	6.131322	7.5084696	6.8944826	B
7.9343066	0.92555475	7.820512	0.7535825	B
7.854366	7.174305	7.3497744	5.541119	B
8.027431	0.034709215	7.626373	0.37478662	B
6.437598	10.670096	6.630893	10.940082	B
8.537471	2.0276127	8.270192	2.2650824	B
8.367623	4.3935285	7.7843447	4.0588126	B
